x,y,z
284.25279,-425.87449,8
106.30941,-50.82762,8
76.84254,-267.01445,108
518.74778,305.78254,8
99.23518,-93.58505,8
113.16153,-508.34496,296.41901
4.7381,-194.66161,8
399.08098,-357.44623,8
158.02037,-494.81816,296.41901
439.84898,195.6512,8
230.88066,298.48489,8
448.1125,461.52636,8
289.96051,375.65879,8
13.32596,122.80826,8
429.47805,-498.15883,296.41901
192.95334,3.29278,8
230.09815,-242.81321,8
512.66145,123.45594,8
343.5241,274.72612,8
569.13607,-458.16892,8
30.65762,-359.30405,8
331.13345,489.63981,8
291.75781,-99.42952,8
225.08345,493.64196,296.41901
389.29824,-26.57901,8
491.18217,229.34075,8
321.13772,382.34994,8
298.12636,-206.75439,8
171.70507,214.13981,8
126.00383,437.45178,8
89.17161,-345.14866,8
154.18357,356.92194,8
554.60805,-265.97071,108
178.59719,450.14197,8
133.24952,401.71255,8
199.47399,172.88874,8
399.59544,-480.07247,296.41901
40.86756,316.48426,8
28.47215,84.7075,8
257.52563,184.90453,8
566.39903,-34.80387,8
128.6923,-322.83878,8
276.69762,-483.1867,8
413.29239,27.27483,8
293.62421,442.06664,8
476.93885,535.75974,471.66666
131.03882,375.85848,8
364.52386,15.92085,8
158.01982,491.66395,296.41901
99.23518,93.58505,8
89.17161,345.14866,8
192.95334,-3.29278,8
518.74778,-305.78254,8
392.50272,-505.17988,296.41901
234.62514,188.68739,8
374.50187,-30.45429,8
300.69037,39.88985,8
126.42856,-180.49922,8
